can_number,pieces_trash,pieces_recycle,pieces_compost,total_piece_volume,weight_trash_lbs,weight_recycle_lbs,weight_compost_lbs,total_can_weight,original_stream,time_collected,notes_stream,notes_contaminants,prop_pieces_trash,prop_pieces_recycle,prop_pieces_compost,prop_trash_weight,prop_recycle_weight,prop_compost_weight,big_belly_compactor,plaza_top,plaza_bottom,zwelis,loop
31,20,20,14,54,0.2,0.2,1.8,2.2,compost,2/1/2022 12:43,compost label on this bin was flipped backwards so people couldn't see it,,37.04%,37.04%,25.93%,9.09%,9.09%,81.82%,F,F,T,F,F
32,108,19,208,335,2,0.6,16.8,19.4,trash,2/1/2022 12:30,,,32.24%,5.67%,62.09%,10.31%,3.09%,86.60%,T,T,F,F,F
33,12,2,33,47,0.2,0.2,2,2.4,compost,2/1/2022 12:31,,,25.53%,4.26%,70.21%,8.33%,8.33%,83.33%,F,T,F,F,F
34,16,23,8,47,0.8,0.8,0.4,2,recycling,2/1/2022 12:32,,,34.04%,48.94%,17.02%,40.00%,40.00%,20.00%,T,T,F,F,F
35,169,9,201,379,2.4,0.4,20.6,23.4,trash,2/1/2022 12:34,,,44.59%,2.37%,53.03%,10.26%,1.71%,88.03%,T,T,F,F,F
36,47,27,17,91,3.2,1.8,0.8,5.8,recycling,2/1/2022 12:37,,,51.65%,29.67%,18.68%,55.17%,31.03%,13.79%,T,T,F,F,F
37,5,1,13,19,0.2,0.2,0.4,0.8,compost,2/1/2022 12:39,,,26.32%,5.26%,68.42%,25.00%,25.00%,50.00%,F,T,F,F,F
38,25,2,59,86,0.8,0,6.8,7.6,trash,2/12022 12:39,,yard waste,29.07%,2.33%,68.60%,10.53%,0.00%,89.47%,F,F,T,F,F
39,24,1,40,65,0.8,0,3.6,4.4,trash,2/12022 12:40,,some of the clear lids are compostable but others are waste,36.92%,1.54%,61.54%,18.18%,0.00%,81.82%,F,F,T,F,F
40,14,2,21,37,0.6,0,2.2,2.8,trash,2/1/2022 12:40,,,37.84%,5.41%,56.76%,21.43%,0.00%,78.57%,F,F,T,F,F
41,59,3,50,112,2,0,3.4,5.4,trash,2/1/2022 12:51,,,52.68%,2.68%,44.64%,37.04%,0.00%,62.96%,T,T,F,F,F
42,,,,,,,,,recycling,2/1/2022 12:56,,,,,,,,,T,T,F,F,F
43,,,,,,,,,trash,2/1/2022 12:58,,,,,,,,,T,T,F,F,F
44,,,,,,,,,recycling,2/1/2022 12:59,,,,,,,,,T,T,F,F,F
45,11,1,23,35,0.2,0,1.8,2,compost,2/1/2022 1:05,,,31.43%,2.86%,65.71%,10.00%,0.00%,90.00%,F,T,F,F,F
46,,,,,,,,,compost,2/1/2022 1:05,,,,,,,,,F,T,F,F,F
47,21,0,12,33,0.4,0,0.4,0.8,compost,2/1/2022 13:16,,,63.64%,0.00%,36.36%,50.00%,0.00%,50.00%,F,T,F,F,F
48,4,1,8,13,0.2,0.2,0.5,0.9,compost,2/1/2022 1:15 PM,,,30.77%,7.69%,61.54%,22.22%,22.22%,55.56%,F,T,F,F,F
Total,411,122,526,2837,23.3,9.8,44.4,185.5,,,,,,,,,,,,,,,
